plane.obj
800: x: 0, y: 95, z: 224
801: x: 0, y: 95, z: 225
802: x: 0, y: 95, z: 226
803: x: 0, y: 95, z: 227
804: x: 0, y: 95, z: 228
805: x: 0, y: 96, z: 208
806: x: 0, y: 96, z: 209
807: x: 0, y: 96, z: 210
808: x: 0, y: 96, z: 211
809: x: 0, y: 96, z: 212
810: x: 0, y: 96, z: 213
811: x: 0, y: 96, z: 214
812: x: 0, y: 96, z: 215
813: x: 0, y: 96, z: 216
814: x: 0, y: 96, z: 217
815: x: 0, y: 96, z: 218
816: x: 0, y: 96, z: 219
817: x: 0, y: 96, z: 220
818: x: 0, y: 96, z: 221
819: x: 0, y: 96, z: 222
820: x: 0, y: 96, z: 223
821: x: 0, y: 96, z: 224
